epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
43	38144.3	1.44715	0.54199	1.31381	0.92276	0.86754	0.91236	0.51331	nan	nan	nan	0.00025821	0.00025821	0.00025821
44	40261.7	1.44961	0.54433	1.31726	0.92265	0.87084	0.91333	0.51254	1.70514	0.51472	1.39878	0.000257215	0.000257215	0.000257215
45	42231.1	1.45148	0.54811	1.31136	0.92157	0.87228	0.91478	0.52723	1.65616	0.50488	1.37546	0.00025622	0.00025622	0.00025622
46	44573.2	1.4553	0.53448	1.32096	0.92377	0.86679	0.91259	0.53148	1.63393	0.4968	1.36659	0.000255225	0.000255225	0.000255225
47	46897.5	1.43605	0.53678	1.30489	0.92792	0.86564	0.91249	0.52474	1.65702	0.50173	1.37983	0.00025423	0.00025423	0.00025423
48	49472.8	1.4297	0.53285	1.30399	0.92812	0.86756	0.91273	0.52378	1.65821	0.50311	1.37899	0.000253235	0.000253235	0.000253235
49	51906.9	1.42492	0.53474	1.30274	0.92622	0.87139	0.91492	0.52594	1.65561	0.50206	1.37617	0.00025224	0.00025224	0.00025224
50	54221.2	1.43426	0.53001	1.30131	0.92675	0.86733	0.91353	0.52497	1.65747	0.49849	1.38007	0.000251245	0.000251245	0.000251245
51	56566.4	1.42866	0.53839	1.29429	0.93202	0.8645	0.91319	0.52629	1.65051	0.49898	1.37496	0.00025025	0.00025025	0.00025025
52	59326.1	1.44743	0.54161	1.31297	0.92872	0.86441	0.9122	0.52745	1.64098	0.49649	1.36775	0.000249255	0.000249255	0.000249255
53	61663	1.44331	0.54056	1.3128	0.92957	0.8645	0.9124	0.53003	1.63363	0.49441	1.36771	0.00024826	0.00024826	0.00024826
54	63859	1.44722	0.53439	1.31009	0.92559	0.86464	0.9122	0.53518	1.61546	0.49009	1.36051	0.000247265	0.000247265	0.000247265
55	66429.7	1.4324	0.54112	1.3034	0.92305	0.86737	0.9133	0.53691	1.61587	0.49219	1.36122	0.00024627	0.00024627	0.00024627
56	68810.6	1.42588	0.53488	1.30107	0.92524	0.86746	0.91393	0.53563	1.6182	0.49284	1.36434	0.000245275	0.000245275	0.000245275
57	71168	1.42666	0.53597	1.29368	0.9294	0.86742	0.91416	0.52622	1.65612	0.50041	1.37929	0.00024428	0.00024428	0.00024428
58	73618.5	1.43138	0.53614	1.30207	0.9303	0.8674	0.9138	0.52186	1.67609	0.50595	1.38853	0.000243285	0.000243285	0.000243285
59	76042.5	1.42616	0.52522	1.30717	0.92846	0.86881	0.91407	0.51991	1.68357	0.50488	1.39172	0.00024229	0.00024229	0.00024229
60	78478.1	1.43609	0.52757	1.29225	0.9271	0.86897	0.91376	0.50371	1.75314	0.51647	1.43207	0.000241295	0.000241295	0.000241295
61	80747.5	1.43507	0.53785	1.30476	0.92656	0.87302	0.91497	0.49649	1.78136	0.52132	1.45073	0.0002403	0.0002403	0.0002403
62	2014.87	1.46271	0.58257	1.33052	0.93345	0.86289	0.91187	0.5045	1.75226	0.52363	1.43832	0.000239305	0.000239305	0.000239305
63	4199.4	nan	nan	nan	0	0	0	0	nan	nan	nan	0.00023831	0.00023831	0.00023831
64	6272.59	nan	nan	nan	0	0	0	0	nan	nan	nan	0.000237315	0.000237315	0.000237315
